Country,Country Code,Percentage Religious
Estonia,EST,16.0
Sweden,SWE,16.5
Denmark,DNK,18.0
Czech Republic,CZE,20.5
Norway,NOR,20.5
Hong Kong,HKG,23.0
Japan,JPN,23.5
United Kingdom,GBR,26.5
Finland,FIN,28.0
France,FRA,29.5
Vietnam,VNM,29.5
Australia,AUS,32.0
The Netherlands,NLD,33.0
New Zealand,NZL,33.0
Belarus,BLR,33.0
Cuba,CUB,33.5
Russia,RUS,33.0
Albania,ALB,32.5
South Korea,KOR,32.5
Bulgaria,BGR,33.5
Latvia,LVA,39.0
Belgium,BEL,33.0
Hungary,HUN,39.0
Slovenia,SVN,47.0
Azerbaijan,AZE,49.5
Spain,ESP,49.5
Taiwan,TWN,45.0
Germany,DEU,40.5
Uruguay,URY,40.5
Switzerland,CHE,41.5
Canada,CAN,42.0
Ukraine,UKR,45.5
Lithuania,LTU,41.5
Slovakia,SVK,46.5
Israel,ISR,49.5
Singapore,SGP,70.0
Montenegro,MNE,45.5
Serbia,SRB,50.5
Kazakhstan,KAZ,43.0
Austria,AUT,55.0
Ireland,IRL,53.5
Uzbekistan,UZB,51.0
Argentina,ARG,66.0
Chile,CHL,69.5
Belize,BLZ,61.5
United States of America,USA,65.0
Kygyzstan,KGZ,72.5
Moldova,MDA,71.5
Venezuela,VEN,79.0
Croatia,HRV,66.5
Greece,GRC,71.5
Armenia,ARM,72.5
Bosnia and Herzegovina,BIH,66.0
Jamaica,JAM,70.0
Mexico,MEX,72.0
Portugal,PRT,71.5
Italy,ITA,71.5
Kosovo,KSV,63.5
Cyprus,CYP,75.0
Poland,POL,74.5
Botswana,BWA,77.0
Georgia,GEO,80.0
Haiti,HTI,75.0
Tajikistan,TJK,84.5
Macedonia,MKD,78.5
Trinidad and Tobago,TTO,92.0
Romania,ROM,84.0
Zimbabwe,ZWE,87.5
Dominican Rebpublic,DOM,86.0
Ecuador,ECU,82.0
India,IND,79.0
Iraq,IRQ,86.0
Nicaragua,NIC,84.0
Iran,IRN,82.5
Costa Rica,CRI,79.0
El Salvador,SLV,83.0
Kuwait,KWT,92.5
Malaysia,MYS,95.5
Peru,PER,83.5
Lebanon,LBN,89.5
Puerto Rico,PRI,84.5
Bolivia,BOL,88.5
Brazil,BRA,86.5
Burkina Faso,BFA,87.5
Colombia,COL,82.5
South Africa,ZAF,84.5
Algeria,DZA,93.0
Cambodia,KHM,96.0
Guatemala,GTM,88.0
Honduras,HND,84.0
Panama,PAN,88.0
Philippines,PHL,95.5
Togo,TGO,80.0
Ethiopia,ETH,91.0
Rwanda,RWA,95.0
Mozambique,MOZ,86.0
Palestinian Territories,PSE,93.0
Paraguay,PRY,91.5
Turkey,TUR,89.5
Burundi,BDI,97.5
Namibia,NAM,91.5
Tunisia,TUN,93.0
Uganda,UGA,93.0
Angola,AGO,88.0
Chad,TCD,94.0
Ghana,GHA,94.5
Madagascar,MDG,93.0
Nepal,NPL,93.0
Benin,BEN,92.5
Cameroon,CMR,95.5
Central African Republic,CAF,94.0
Liberia,LBR,94.0
Mali,MLI,94.5
Mauritania,MRT,98.0
Comoros,COM,96.0
Nigeria,NGA,95.5
Jordan,JOR,96.5
Kenya,KEN,94.0
Sudan,SDN,94.0
Thailand,THA,94.0
Yemen,YEM,96.0
Afghanistan,AFG,97.0
Guinea,GIN,97.0
Laos,LAO,96.5
Myanmar,MMR,96.5
Niger,NER,100.0
Pakistan,PAK,96.5
Saudi Arabia,SAU,94.5
Zambia,ZMB,97.0
C̫te d'Ivoire,CIV,88.0
Democratic Republic of the Congo,COD,98.5
Djibouti,DJI,98.0
Malawi,MWI,98.5
Morocco,MAR,98.5
Senegal,SEN,96.5
Sierra Leone,SLE,98.0
Tanzania,TZA,96.5
United Arab Emirates,ARE,91.0
Qatar,QAT,94.5
Bahrain,BHR,95.5
Bangladesh,BGD,100.0
Indonesia,IDN,99.0
Sri Lanka,LKA,98.5
Egypt,EGY,98.0
Republic of the Congo,COG,94.5
Somalia,SOM,98.5
